id;dc_source;dc_title;foi_nrPages;foi_fairiscoreVersions;foi_fairiscore_v2
nl.mnre1013.2e-b.2024.326.doc.1;https://open.overheid.nl/documenten/e1f06721-c270-4893-b88a-fbfafb1ebe05/file;Beslisnota bij Kamerbrief inzake toestemming technische briefing voor werkbezoek Armeni_ en Georgi_;1.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1153.2e-b.2024.153.doc.1;https://open.overheid.nl/documenten/567e3c70-6e01-4e8b-8097-ebc5e36e6033/file;87073255.Beslisnota - Beantwoording vragen schriftelijk overleg Landbouw- en Visserijraad 23 september;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1013.2e-b.2024.363.doc.1;https://open.overheid.nl/documenten/b1510234-15f2-4807-a72c-6942870f0510/file;Beslisnota bij Kamerbrief inzake ambtelijke ondersteuning voor het werkbezoek aan Londen;1.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1162.2e-b.2024.14.doc.1;https://open.overheid.nl/documenten/dpc-aa78b2efd1de4de92c77b212fba88a71afde871b/pdf;tk-beslisnota-bij-evaluatie-wet-biometrie-in-de-vreemdelingenketen;5.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1153.2e-b.2024.116.doc.1;https://open.overheid.nl/documenten/9dba4d83-d549-438f-927a-c9f24c21e5d6/file;85899465.Beslisnota bij Beantwoording Kamervragen over het bereiken van de top 5 van de landen met een goede concurrentiepositie_;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1109.2e-b.2024.131.doc.1;https://open.overheid.nl/documenten/e440ed43-62ae-4b32-a23f-96ddaf1db03c/file;Beslisnota bij Aanbieding IBO doelmatig Hoger onderwijs Talent op de juiste plek;3.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1025.2e-b.2024.667.doc.1;https://open.overheid.nl/documenten/a9db130e-9e65-41fc-b8e5-717aee142608/file;Beslisnota bij Kamervragen over logeerfaciliteiten voor kinderen met een _zeer_ ernstige meervoudige beperking;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1090.2e-b.2024.212.doc.1;https://open.overheid.nl/documenten/629e4e3f-9194-43fe-9683-fdaef4ffb078/file;Beslisnota Kamerbrief Vragen van Kamerleden m.b.t. initiatiefwetsvoorstel;2.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1034.2e-b.2024.117.doc.1;https://open.overheid.nl/documenten/ee29d7c8-b569-4af8-bb6f-17c5877fae0f/file;Beslisnota bij Kamerbrief over Benoeming nieuw lid Staatscommissie tegen Discriminatie en Racisme;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1034.2e-b.2024.583.doc.1;https://open.overheid.nl/documenten/fd6bc20c-f5f8-45af-8f0f-ff1ef0f4ce0e/file;Beslisnota bij Kamerbrief over evaluatie experiment met een nieuw stembiljet bij de Europees Parlementsverkiezing in 2024;5.0;"{""v1"": 1, ""v2"": 1}";1
